value,pan_degree,tilt_degree
263.0,22.0,0.0
325.0,23.0,0.0
270.0,24.0,0.0
270.0,25.0,0.0
325.0,26.0,0.0
274.0,27.0,0.0
272.0,28.0,0.0
317.0,29.0,0.0
272.0,30.0,0.0
281.0,31.0,0.0
305.0,32.0,0.0
274.0,33.0,0.0
229.0,10.0,0.0
146.0,11.0,0.0
168.0,12.0,0.0
148.0,13.0,0.0
141.0,14.0,0.0
137.0,15.0,0.0
134.0,16.0,0.0
143.0,17.0,0.0
126.0,18.0,0.0
172.0,19.0,0.0
288.0,20.0,0.0
266.0,21.0,0.0
267.0,22.0,0.0
319.0,23.0,0.0
274.0,24.0,0.0
270.0,25.0,0.0
326.0,26.0,0.0
273.0,27.0,0.0
275.0,28.0,0.0
309.0,29.0,0.0
277.0,30.0,0.0
287.0,31.0,0.0
308.0,32.0,0.0
274.0,33.0,0.0
290.0,34.0,0.0
302.0,35.0,0.0
311.0,36.0,0.0
276.0,37.0,0.0
178.0,38.0,0.0
157.0,39.0,0.0
162.0,40.0,0.0
152.0,41.0,0.0
157.0,42.0,0.0
162.0,43.0,0.0
160.0,44.0,0.0
140.0,45.0,0.0
193.0,46.0,0.0
150.0,47.0,0.0
148.0,48.0,0.0
180.0,49.0,0.0
154.0,50.0,0.0
163.0,50.0,5.0
176.0,49.0,5.0
166.0,48.0,5.0
162.0,47.0,5.0
180.0,46.0,5.0
149.0,45.0,5.0
157.0,44.0,5.0
179.0,43.0,5.0
156.0,42.0,5.0
153.0,41.0,5.0
175.0,40.0,5.0
141.0,39.0,5.0
152.0,38.0,5.0
168.0,37.0,5.0
147.0,36.0,5.0
150.0,35.0,5.0
185.0,34.0,5.0
214.0,33.0,5.0
288.0,32.0,5.0
334.0,31.0,5.0
278.0,30.0,5.0
275.0,29.0,5.0
318.0,28.0,5.0
271.0,27.0,5.0
272.0,26.0,5.0
318.0,25.0,5.0
272.0,24.0,5.0
275.0,23.0,5.0
318.0,22.0,5.0
275.0,21.0,5.0
270.0,20.0,5.0
310.0,19.0,5.0
267.0,18.0,5.0
266.0,17.0,5.0
303.0,16.0,5.0
239.0,15.0,5.0
176.0,14.0,5.0
149.0,13.0,5.0
124.0,12.0,5.0
125.0,11.0,5.0
164.0,10.0,5.0
70.0,10.0,10.0
29.0,11.0,10.0
51.0,12.0,10.0
37.0,13.0,10.0
31.0,14.0,10.0
41.0,15.0,10.0
45.0,16.0,10.0
30.0,17.0,10.0
6.0,18.0,10.0
3.0,19.0,10.0
12.0,20.0,10.0
3.0,21.0,10.0
6.0,22.0,10.0
23.0,23.0,10.0
2.0,24.0,10.0
7.0,25.0,10.0
46.0,26.0,10.0
27.0,27.0,10.0
27.0,28.0,10.0
33.0,29.0,10.0
65.0,30.0,10.0
183.0,31.0,10.0
300.0,32.0,10.0
279.0,33.0,10.0
286.0,34.0,10.0
314.0,35.0,10.0
313.0,36.0,10.0
226.0,37.0,10.0
148.0,38.0,10.0
