value,pan_degree,tilt_degree
122.0,18.0,0.0
116.0,19.0,0.0
154.0,20.0,0.0
111.0,21.0,0.0
170.0,10.0,0.0
198.0,11.0,0.0
240.0,12.0,0.0
209.0,13.0,0.0
198.0,14.0,0.0
191.0,15.0,0.0
150.0,16.0,0.0
132.0,17.0,0.0
134.0,18.0,0.0
120.0,19.0,0.0
150.0,20.0,0.0
125.0,21.0,0.0
114.0,22.0,0.0
157.0,23.0,0.0
142.0,24.0,0.0
218.0,25.0,0.0
326.0,26.0,0.0
289.0,27.0,0.0
301.0,28.0,0.0
342.0,29.0,0.0
285.0,30.0,0.0
296.0,31.0,0.0
313.0,32.0,0.0
280.0,33.0,0.0
271.0,34.0,0.0
289.0,35.0,0.0
269.0,36.0,0.0
280.0,37.0,0.0
265.0,38.0,0.0
247.0,39.0,0.0
310.0,40.0,0.0
307.0,41.0,0.0
311.0,42.0,0.0
339.0,43.0,0.0
335.0,44.0,0.0
280.0,45.0,0.0
219.0,46.0,0.0
154.0,47.0,0.0
137.0,48.0,0.0
161.0,49.0,0.0
137.0,50.0,0.0
144.0,50.0,5.0
165.0,49.0,5.0
144.0,48.0,5.0
145.0,47.0,5.0
176.0,46.0,5.0
130.0,45.0,5.0
141.0,44.0,5.0
171.0,43.0,5.0
151.0,42.0,5.0
239.0,41.0,5.0
386.0,40.0,5.0
337.0,39.0,5.0
313.0,38.0,5.0
355.0,37.0,5.0
295.0,36.0,5.0
230.0,35.0,5.0
187.0,34.0,5.0
126.0,33.0,5.0
134.0,32.0,5.0
179.0,31.0,5.0
150.0,30.0,5.0
158.0,29.0,5.0
215.0,28.0,5.0
182.0,27.0,5.0
191.0,26.0,5.0
258.0,25.0,5.0
223.0,24.0,5.0
229.0,23.0,5.0
268.0,22.0,5.0
198.0,21.0,5.0
140.0,20.0,5.0
136.0,19.0,5.0
104.0,18.0,5.0
107.0,17.0,5.0
142.0,16.0,5.0
110.0,15.0,5.0
107.0,14.0,5.0
145.0,13.0,5.0
122.0,12.0,5.0
142.0,11.0,5.0
235.0,10.0,5.0
183.0,10.0,10.0
161.0,11.0,10.0
195.0,12.0,10.0
164.0,13.0,10.0
157.0,14.0,10.0
182.0,15.0,10.0
209.0,16.0,10.0
90.0,17.0,10.0
2.0,18.0,10.0
5.0,19.0,10.0
22.0,20.0,10.0
3.0,21.0,10.0
4.0,22.0,10.0
48.0,23.0,10.0
24.0,24.0,10.0
41.0,25.0,10.0
67.0,26.0,10.0
36.0,27.0,10.0
31.0,28.0,10.0
54.0,29.0,10.0
28.0,30.0,10.0
35.0,31.0,10.0
95.0,32.0,10.0
54.0,33.0,10.0
61.0,34.0,10.0
77.0,35.0,10.0
61.0,36.0,10.0
51.0,37.0,10.0
81.0,38.0,10.0
220.0,39.0,10.0
315.0,40.0,10.0
308.0,41.0,10.0
312.0,42.0,10.0
345.0,43.0,10.0
329.0,44.0,10.0
240.0,45.0,10.0
178.0,46.0,10.0
88.0,47.0,10.0
85.0,48.0,10.0
104.0,49.0,10.0
86.0,50.0,10.0
81.0,50.0,15.0
110.0,49.0,15.0
78.0,48.0,15.0
80.0,47.0,15.0
99.0,46.0,15.0
80.0,45.0,15.0
77.0,44.0,15.0
97.0,43.0,15.0
131.0,42.0,15.0
359.0,41.0,15.0
422.0,40.0,15.0
339.0,39.0,15.0
313.0,38.0,15.0
356.0,37.0,15.0
299.0,36.0,15.0
257.0,35.0,15.0
174.0,34.0,15.0
32.0,33.0,15.0
46.0,32.0,15.0
73.0,31.0,15.0
34.0,30.0,15.0
35.0,29.0,15.0
34.0,28.0,15.0
3.0,27.0,15.0
3.0,26.0,15.0
25.0,25.0,15.0
5.0,24.0,15.0
5.0,23.0,15.0
29.0,22.0,15.0
6.0,21.0,15.0
43.0,20.0,15.0
53.0,19.0,15.0
30.0,18.0,15.0
7.0,17.0,15.0
26.0,16.0,15.0
4.0,15.0,15.0
3.0,14.0,15.0
30.0,13.0,15.0
5.0,12.0,15.0
6.0,11.0,15.0
27.0,10.0,15.0
3.0,10.0,20.0
7.0,11.0,20.0
19.0,12.0,20.0
4.0,13.0,20.0
6.0,14.0,20.0
17.0,15.0,20.0
4.0,16.0,20.0
10.0,17.0,20.0
3.0,18.0,20.0
3.0,19.0,20.0
19.0,20.0,20.0
3.0,21.0,20.0
26.0,22.0,20.0
42.0,23.0,20.0
61.0,24.0,20.0
18.0,25.0,20.0
28.0,26.0,20.0
5.0,27.0,20.0
6.0,28.0,20.0
26.0,29.0,20.0
5.0,30.0,20.0
4.0,31.0,20.0
28.0,32.0,20.0
22.0,33.0,20.0
14.0,34.0,20.0
79.0,35.0,20.0
104.0,36.0,20.0
99.0,37.0,20.0
113.0,38.0,20.0
204.0,39.0,20.0
296.0,40.0,20.0
306.0,41.0,20.0
308.0,42.0,20.0
336.0,43.0,20.0
321.0,44.0,20.0
374.0,45.0,20.0
251.0,46.0,20.0
73.0,47.0,20.0
71.0,48.0,20.0
102.0,49.0,20.0
81.0,50.0,20.0
71.0,50.0,25.0
107.0,49.0,25.0
79.0,48.0,25.0
82.0,47.0,25.0
103.0,46.0,25.0
80.0,45.0,25.0
77.0,44.0,25.0
91.0,43.0,25.0
60.0,42.0,25.0
278.0,41.0,25.0
402.0,40.0,25.0
311.0,39.0,25.0
306.0,38.0,25.0
347.0,37.0,25.0
293.0,36.0,25.0
241.0,35.0,25.0
193.0,34.0,25.0
76.0,33.0,25.0
67.0,32.0,25.0
112.0,31.0,25.0
47.0,30.0,25.0
35.0,29.0,25.0
44.0,28.0,25.0
7.0,27.0,25.0
5.0,26.0,25.0
27.0,25.0,25.0
6.0,24.0,25.0
3.0,23.0,25.0
35.0,22.0,25.0
6.0,21.0,25.0
24.0,20.0,25.0
76.0,19.0,25.0
36.0,18.0,25.0
11.0,17.0,25.0
31.0,16.0,25.0
2.0,15.0,25.0
4.0,14.0,25.0
27.0,13.0,25.0
4.0,12.0,25.0
3.0,11.0,25.0
27.0,10.0,25.0
